EST_ORIGINAL_COMPLETION_DATE,coordinates,APPROXIMATE_GFA,FMEL_UPD_D,ADDRESS_MYENV,ADDRESSSTREETNAME,ADDRESSPOSTALCODE,DESCRIPTION,ADDRESSBUILDINGNAME,ADDRESSBLOCKHOUSENUMBER,AWARDED_DATE,INC_CRC,PHOTOURL,NAME,INFO_ON_CO_LOCATORS,HUP_COMPLETION_DATE,STATUS,LANDYADDRESSPOINT,LANDXADDRESSPOINT,IMPLEMENTATION_DATE
30/6/1981,"103.839214290038,1.37448912101909,0.0",,20221012163049,"Blk 160/162, Ang Mo Kio Ave 4, Singapore 560160/560162",Ang Mo Kio Ave 4,560160,HUP Standard Upgrading,,160/162,,546287EBBB6E50A6,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265165416622.jpg,Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),,31/12/2008,Existing,39609.54,28656.12,
31/12/1979,"103.840682307297,1.38102486670548,0.0",,20221012163049,"Blk 628, Ang Mo Kio Ave 4, Singapore 560628",Ang Mo Kio Ave 4,560628,HUP Rebuilding,,628,,CE6A36B49FA5756A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/blk-628-ang-mo-kio-ave-4.jpg,Ang Mo Kio Ave 4 Blk 628 (Ang Mo Kio 628 Market),,16/12/2009,Existing,40332.23,28819.49,
31/1/1980,"103.846519219268,1.37219743270045,0.0",,20221012163049,"Blk 724, Ang Mo Kio Ave 6, Singapore 560724",Ang Mo Kio Ave 6,560724,HUP Reconfiguration,,724,,8285869D56ECB18F,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155216756.jpg,Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),,2/1/2008,Existing,39356.14,29469.07,
30/9/1976,"103.839953165936,1.36723014879667,0.0",,20221012163049,"Blk 226H, Ang Mo Kio Street 22, Singapore 568226",Ang Mo Kio Street 22,568226,HUP Reconfiguration,,226H,,69908CB70A6BE99E,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1259901689557.jpg,Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),,13/12/2003,Existing,38806.88,28738.35,
1971,"103.955474150677,1.32035600765426,0.0",1081.18,20221012163049,"1, Bedok Road, Singapore 469572",Bedok Road,469572,HUP Rebuilding,,1,,5074BAFFA5D70724,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265176030572.jpg,Bedok Food Centre,,6/2/2005,Existing,33624.11,41594.72,
21/8/1979,"103.933221544751,1.32706240888967,0.0",,20221012163049,"Blk 216, Bedok North Street 1, Singapore 460216",Bedok North Street 1,460216,HUP Standard Upgrading,,216,,B8E4DB8CFECEFE61,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262154705733.jpg,Bedok North Street 1 Blk 216,,15/12/2008,Existing,34365.56,39118.19,
16/3/1979,"103.930602144469,1.33324627868937,0.0",,20221012163049,"Blk 511, Bedok North Street 3, Singapore 460511",Bedok North Street 3,460511,HUP Standard Upgrading,,511,,29D02D343318B565,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1265166047112.jpg,Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),,1/7/2004,Existing,35049.33,38826.65,
30/6/1982,"103.91405388831,1.33315924777343,0.0",,20221012163049,"Blk 630, Bedok Reservoir Road, Singapore 470630",Bedok Reservoir Road,470630,HUP Rebuilding,,630,,BBA7FF2B158D219A,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262155176127.jpg,Bedok Reservoir Road Blk 630,,28/2/2006,Existing,35039.64,36985,
12/5/1975,"103.93553909635,1.32055216480957,0.0",,20221012163049,"Blk 16, Bedok South Road, Singapore 460016",Bedok South Road,460016,HUP Standard Upgrading,,16,,483F3877C2096482,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1267853021378.jpg,Bedok South Road Blk 16,,20/9/2012,Existing,33645.7,39376.14,
17/3/1971,"103.863021377531,1.31921699786807,0.0",,20221012163049,"Blk 29, Bendemeer Road, Singapore 330029",Bendemeer Road,330029,HUP Standard Upgrading,,29,,A7DB5A3E6C113EAC,http://www.nea.gov.sg/images/default-source/Hawker-Centres-Division/resize_1262226446535.jpg,Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),,31/12/2004,Existing,33497.85,31305.63,
